Generation,Sex,Treatment,Sugar Weight,Glucose,Trehalose,Glycogen
F2,male,CD,2.63,7.122626365,9.256780986,30.72784699
F2,male,CD,2.73,10.31715729,12.19297011,27.36422826
F2,male,CD,2.65,11.829668,13.7069855,23.20860046
F2,male,CD,2.63,13.38662783,14.89050259,22.36303235
F2,male,CD,2.48,8.351631098,15.75245071,35.73567678
F2,male,CD,2.3,8.227636563,18.13574363,13.30633387
F2,male,CD,2.58,11.01216847,15.66312059,27.81893306
F2,male,CD,2.54,10.66490763,25.17048475,23.81715595
F2,male,HSD,2.59,7.105161053,4.682762978,16.77389878
F2,male,HSD,2.43,8.495084928,12.83366941,22.05275058
F2,male,HSD,2.55,8.894733768,5.553869664,10.54985343
F2,male,HSD,2.62,8.288751984,9.670400647,10.52496442
F2,male,HSD,2.43,7.471807786,17.74283695,8.470495709
F2,male,HSD,2.7,7.756430631,8.540910956,9.485435813
F2,male,HSD,2.54,10.28612637,8.936406399,10.85106689
F2,male,HSD,2.55,8.331408557,7.784881916,13.49080078
F2,female,NSD,3.62,6.923692028,13.50464819,32.28819197
F2,female,NSD,3.89,13.77016213,21.46402462,43.46707655
F2,female,NSD,3.67,13.60528779,25.09025617,28.28579995
F2,female,NSD,3.42,11.23703488,16.58774547,7.356707691
F2,female,NSD,3.2,19.47740495,38.22137743,44.10053555
F2,female,NSD,3.63,18.35131994,150.3222716,30.45639538
F2,female,NSD,3.61,18.93453609,30.06196615,38.41084788
F2,female,NSD,3.45,17.94770128,31.30098996,44.69687675
F2,female,LSD,3.36,10.37217823,4.630682652,20.59850835
F2,female,LSD,3.41,12.5110871,24.14247216,24.37954175
F2,female,LSD,3.6,11.75465061,13.77470472,9.774439254
F2,female,LSD,3.64,14.98815388,21.12885547,21.49021021
F2,female,LSD,3.66,16.1588558,27.60996658,24.83144007
F2,female,LSD,3.41,17.18805249,18.72540675,15.70139616
F2,female,LSD,3.75,17.63838196,20.06777986,12.02781836
F2,female,LSD,3.33,17.62714694,26.61383063,9.428676087
F2,female,CD,3.48,12.14600827,20.8706281,70.48869272
F2,female,CD,3.25,10.04485445,10.64122576,16.18325305
F2,female,CD,3.82,13.77895053,24.29853581,44.56456393
F2,female,CD,3.23,12.97103279,22.85532574,27.44457265
F2,female,CD,3.34,13.1371832,16.08601367,16.71209257
F2,female,CD,3.86,18.30798217,41.98473306,52.05315152
F2,female,CD,3.14,12.28261984,17.30173762,12.84395137
F2,female,CD,3.34,12.70079711,18.1864283,26.1332386
F2,female,HSD,3.59,10.22275768,14.51421126,34.46205315
F2,female,HSD,3.75,10.60192871,14.39656471,25.48406867
F2,female,HSD,3.48,11.25659946,7.605423964,30.8671776
F2,female,HSD,3.44,10.24295969,24.40946298,15.84427892
F2,female,HSD,3.84,5.720426993,13.32500613,8.951585668
F2,female,HSD,3.73,10.32254927,21.69878531,18.73403502
F2,female,HSD,3.88,15.00056038,37.78815248,33.34352381
