"","metabolite","generation","treatment","sex","pAdj","AllSig","variable","estimate","std.error","statistic","p.value"
"106","Glucose","F5","NSD","male",0.101047606995017," ","TreatmentNSD",-2.20173886954144,0.911263995368625,-2.41613723435962,0.0177768938231974
"3","Glycogen","F0","HSD","female",0.142232641283995," ","TreatmentHSD",8.96055558842307,4.01894506875836,2.22957901516962,0.029877917320262
"6","Glycogen","F1","HSD","female",0.436771991436162," ","TreatmentHSD",9.83490818453794,7.07086476233756,1.39090599454297,0.169855774447396
"9","Glycogen","F2","HSD","female",0.0669955906038115,".","TreatmentHSD",-13.4805622790912,5.13051403606406,-2.62752663462803,0.0111235291432644
"12","Glycogen","F3","HSD","female",0.858059865910097," ","TreatmentHSD",-1.73561832235706,5.75790480281456,-0.301432271250588,0.764221641060077
"15","Glycogen","F4","HSD","female",0.492227922634641," ","TreatmentHSD",6.3199211796414,4.85870843200931,1.30074098252235,0.196781934277696
"18","Glycogen","F5","HSD","female",0.858059865910097," ","TreatmentHSD",-1.25233536846832,4.67738884593808,-0.267742411357539,0.789531342383567
"2","Glycogen","F0","LSD","female",0.696378397134036," ","TreatmentLSD",-3.24857964480841,3.93541043343202,-0.825474165848407,0.412668679783132
"5","Glycogen","F1","LSD","female",0.840640069783179," ","TreatmentLSD",2.87923325004125,7.05951247813545,0.407851570339841,0.684965982786294
"8","Glycogen","F2","LSD","female",0.00973594151281657,"**","TreatmentLSD",-17.7232368554851,4.78913213834661,-3.70071995165368,0.000498696042161316
"11","Glycogen","F3","LSD","female",0.622147273671373," ","TreatmentLSD",5.83915068598578,5.92088051176182,0.986196339275269,0.32835550554878
"14","Glycogen","F4","LSD","female",0.883180129077979," ","TreatmentLSD",-1.12866354992308,5.11681938073301,-0.220579126590432,0.825936972563666
"17","Glycogen","F5","LSD","female",0.710772972310179," ","TreatmentLSD",-4.30734249620862,5.56398442567097,-0.774147115929281,0.440942492081315
"1","Glycogen","F0","NSD","female",0.00924432286155597,"**","TreatmentNSD",-20.7493078074201,5.4329186964643,-3.81918246281203,0.000342382328205777
"4","Glycogen","F1","NSD","female",0.929757999827687," ","TreatmentNSD",-0.825328590693074,7.03456948834341,-0.11732467666439,0.907030171750784
"7","Glycogen","F2","NSD","female",0.833454962680727," ","TreatmentNSD",-2.17053575311206,4.84565368810042,-0.447934560086762,0.655959924332054
"10","Glycogen","F3","NSD","female",0.336475031785307," ","TreatmentNSD",9.35935678854325,5.89986943963143,1.58636676358858,0.118389363035571
"13","Glycogen","F4","NSD","female",0.858059865910097," ","TreatmentNSD",-1.33052854435883,5.09249348400618,-0.261272507964434,0.794499875842682
"16","Glycogen","F5","NSD","female",0.178890896014367," ","TreatmentNSD",10.1066752111143,4.88226487104689,2.07007925175251,0.0414099296329553
"21","Glycogen","F0","HSD","male",0.0389892637789073,"*","TreatmentHSD",11.4742696396216,3.89291170453578,2.94747749512338,0.00469315212153513
"24","Glycogen","F1","HSD","male",0.257392820383176," ","TreatmentHSD",12.6382731933238,7.03244567710245,1.79713769200861,0.0778049285964771
"27","Glycogen","F2","HSD","male",0.0669955906038115,".","TreatmentHSD",-12.4522331776545,4.74178274268072,-2.62606573379505,0.0111659317673019
"30","Glycogen","F3","HSD","male",0.492227922634641," ","TreatmentHSD",-7.23728367149018,5.69333170647192,-1.27118601982441,0.209012408911719
