Study,Generation,Sex,Treatment,Sugar Weight,Glucose,Trehalose,Glycogen
Pilot,F2,male,CD,2.63,16.20936253,16.52785779,62.21418492
Pilot,F2,male,CD,2.48,12.09088737,15.57383356,84.89571774
Pilot,F2,male,CD,2.3,10.85109988,19.0750674,36.35011852
Pilot,F2,male,CD,2.58,10.39169276,19.80640161,75.0408128
Pilot,F2,male,CD,2.54,11.98897604,28.30351949,63.77980319
Pilot,F2,male,HSD,2.59,7.23659433,5.435616477,45.27061306
Pilot,F2,male,HSD,2.43,8.652238746,13.65595839,58.53972372
Pilot,F2,male,HSD,2.55,9.059283088,6.499671988,33.58765607
Pilot,F2,male,HSD,2.62,8.442087611,10.50339922,32.83235864
Pilot,F2,male,HSD,2.43,7.61002586,18.39661567,27.34920846
Pilot,F2,male,HSD,2.7,7.899915651,9.325880716,29.92049361
Pilot,F2,male,HSD,2.54,10.47642341,10.00311791,35.86111881
Pilot,F2,male,HSD,2.55,8.485533544,8.642991253,39.43422568
Pilot,F2,female,NSD,3.62,7.279156562,11.02438505,70.04001777
Pilot,F2,female,NSD,3.89,14.47717237,17.32644947,98.17541433
Pilot,F2,female,NSD,3.67,14.30383222,20.42977247,67.94321723
Pilot,F2,female,NSD,3.42,11.81397663,13.34807645,24.39485013
Pilot,F2,female,NSD,3.2,20.47746498,31.21006205,104.4155447
Pilot,F2,female,NSD,3.63,19.29355888,126.8651267,76.3903276
Pilot,F2,female,NSD,3.61,19.90672143,24.29185135,92.66485605
Pilot,F2,female,NSD,3.45,18.86921561,25.41798266,104.2614191
Pilot,F2,female,LSD,3.36,10.90471218,3.214808909,49.88378674
Pilot,F2,female,LSD,3.41,13.15344761,19.69905542,59.24562861
Pilot,F2,female,LSD,3.6,12.35817037,10.91313198,29.63870144
Pilot,F2,female,LSD,3.64,15.75770433,16.95459004,55.68263182
Pilot,F2,female,LSD,3.66,16.98851828,22.39752703,63.32719053
Pilot,F2,female,LSD,3.41,18.07056114,14.74993722,46.13099303
Pilot,F2,female,LSD,3.75,18.54401367,15.86258981,39.24354047
Pilot,F2,female,LSD,3.33,18.53220177,21.4444441,34.08241506
Pilot,F2,female,CD,3.48,12.76962307,16.93533987,150.311789
Pilot,F2,female,CD,3.25,10.56058131,8.362441998,40.84718668
Pilot,F2,female,CD,3.82,14.48641202,19.74248795,100.358231
Pilot,F2,female,CD,3.23,13.63701013,18.56914117,65.72201205
Pilot,F2,female,CD,3.34,13.81169186,12.78598687,44.59612371
Pilot,F2,female,CD,3.86,19.24799584,34.50130611,119.1556924
Pilot,F2,female,CD,3.14,12.91324924,13.88290285,36.18337755
Pilot,F2,female,CD,3.34,13.35289866,14.60761541,62.8870207
Pilot,F2,female,HSD,3.59,11.86240586,13.11365871,85.24042198
Pilot,F2,female,HSD,3.75,12.30239477,12.97604406,47.15666337
Pilot,F2,female,HSD,3.48,13.06207272,6.471579214,78.3732327
Pilot,F2,female,HSD,3.44,11.88584821,22.52516725,44.53348577
Pilot,F2,female,HSD,3.84,6.637915014,12.28762765,25.09606034
Pilot,F2,female,HSD,3.73,11.97820371,19.9412345,50.93155488
Pilot,F2,female,HSD,3.88,17.40655359,34.92916554,87.39936142
Pilot,F2,female,HSD,3.76,13.77452512,22.43782816,76.90991573
Pilot,F3,male,NSD,2.59,7.890189476,12.76323832,83.29809097
Pilot,F3,male,NSD,2.71,8.435742679,12.63112134,65.85819119
Pilot,F3,male,NSD,2.29,5.019158505,10.98574747,51.67740822
Pilot,F3,male,NSD,2.52,8.580351683,16.58971658,56.92956321
Pilot,F3,male,NSD,2.32,7.204205829,17.73124213,45.30784359
Pilot,F3,male,NSD,2.32,8.618822956,19.79190744,33.72075332
Pilot,F3,male,NSD,2.47,9.004144857,15.8572564,45.99082567
Pilot,F3,male,NSD,2.59,9.695753467,15.58655122,55.56278367
Pilot,F3,male,LSD,2.55,4.732243418,7.127967475,46.654928
Pilot,F3,male,LSD,2.41,8.401755072,6.551852193,63.66618468
Pilot,F3,male,LSD,2.23,5.938906929,59.89838793,72.86608165
Pilot,F3,male,LSD,2.42,8.306903121,11.4530141,53.59453768
Pilot,F3,male,LSD,2.35,8.336894605,10.03274253,37.82608301
Pilot,F3,male,LSD,2.47,8.371718028,14.05578173,51.87515526
Pilot,F3,male,LSD,2.43,7.413620266,55.83172341,32.08976903
Pilot,F3,male,LSD,2.5,6.88684287,6.08752127,31.65455038
Pilot,F3,male,CD,2.59,7.807607217,4.558670095,76.35016931
Pilot,F3,male,CD,2.48,9.050567075,5.928987056,59.20032258
Pilot,F3,male,CD,2.54,8.998047797,38.06976008,77.98668434
Pilot,F3,male,CD,2.58,15.98830571,2.930728624,30.58565563
Pilot,F3,male,CD,2.51,10.29371882,3.808068355,49.34352483
Pilot,F3,male,CD,2.59,7.86717656,8.686596001,56.31545727
Pilot,F3,male,CD,2.36,8.919401576,6.431160391,50.00332151
Pilot,F3,male,CD,2.52,8.708839528,16.34280307,5.009130855
Pilot,F3,male,HSD,2.6,8.973753782,10.98118571,52.82140548
Pilot,F3,male,HSD,2.74,9.01537241,30.93798478,49.64311003
Pilot,F3,male,HSD,2.35,8.390779131,26.57648104,42.26809742
Pilot,F3,male,HSD,2.48,7.350756643,22.64279903,52.26103083
Pilot,F3,male,HSD,2.58,11.48294574,12.8584666,34.96702137
Pilot,F3,male,HSD,2.61,9.707442579,10.3504544,33.44806394
Pilot,F3,male,HSD,2.61,13.09575384,19.47472183,53.38460699
Pilot,F3,male,HSD,2.56,8.11975705,16.92351707,36.94467274
Pilot,F3,female,NSD,3.61,7.42990537,68.21284113,57.23050819
Pilot,F3,female,NSD,3.37,4.844748436,4.216692155,19.40244997
Pilot,F3,female,NSD,3.92,14.79657582,25.25319317,95.1967367
Pilot,F3,female,NSD,3.83,15.63435738,28.48780694,112.1957442
Pilot,F3,female,NSD,3.79,11.58647555,19.43618114,57.46376665
Pilot,F3,female,NSD,3.35,13.20324773,18.39074833,49.52183088
Pilot,F3,female,NSD,3.57,11.16499655,20.89375532,77.17476171
Pilot,F3,female,NSD,3.64,7.761470294,23.48280685,114.2023545
Pilot,F3,female,LSD,3.54,5.97699511,16.06205673,68.10728353
Pilot,F3,female,LSD,4.07,12.38329156,19.37312002,75.84845482
Pilot,F3,female,LSD,3.27,7.502224021,23.47070783,35.60868396
Pilot,F3,female,LSD,3.55,12.42112279,29.36266652,70.60863573
Pilot,F3,female,LSD,3.71,7.273544729,14.60453632,36.49813038
Pilot,F3,female,LSD,3.68,11.89310223,23.46132851,106.3431922
Pilot,F3,female,LSD,3.47,9.671924022,15.06209934,57.60727024
Pilot,F3,female,LSD,3.72,15.05165804,23.45076781,71.49057148
Pilot,F3,female,CD,3.81,8.584809868,15.61861879,121.0804188
Pilot,F3,female,CD,3.83,9.291561718,8.522422542,61.80845051
Pilot,F3,female,CD,3.87,12.68518646,15.45624699,64.62162397
Pilot,F3,female,CD,3.7,13.66732467,10.92995616,47.09838816
Pilot,F3,female,CD,4.08,15.54287132,15.84495465,58.3566878
Pilot,F3,female,CD,3.81,9.692036308,12.21583554,44.62055966
Pilot,F3,female,CD,3.82,15.05169835,14.85651758,41.80726517
Pilot,F3,female,CD,3.63,14.65764388,19.67843827,27.02076814
Pilot,F3,female,HSD,3.87,4.392894314,4.460028664,26.24947331
Pilot,F3,female,HSD,3.29,6.070832068,12.59888636,39.35833326
Pilot,F3,female,HSD,4.03,9.8366009,8.995199038,-12.62173719
Pilot,F3,female,HSD,3.97,11.1482487,18.2929269,109.2558035
Pilot,F3,female,HSD,3.46,6.781078608,5.251967122,26.04791378
Pilot,F3,female,HSD,3.5,7.9506493,10.84851479,55.87322431
Pilot,F3,female,HSD,3.61,8.843414725,12.39219787,49.14530611
Pilot,F3,female,HSD,3.95,11.98679797,13.35125583,93.12843723
Pilot,F4,male,NSD,2.42,4.635723136,46.97446525,38.83111826
Pilot,F4,male,NSD,2.4,5.431737099,15.11221393,45.07995246
Pilot,F4,male,NSD,2.64,7.636171168,19.44246639,55.3965941
Pilot,F4,male,NSD,2.5,7.053303063,22.81396417,63.58731523
Pilot,F4,male,NSD,2.44,6.95328727,19.25214218,57.56284473
Pilot,F4,male,NSD,2.32,4.313885177,18.33893622,42.09647375
Pilot,F4,male,NSD,2.35,7.448141935,16.18490726,55.18949933
Pilot,F4,male,NSD,2.47,8.624694017,23.91401459,49.50733438
Pilot,F4,male,LSD,2.46,2.886036785,14.05845891,54.53733398
Pilot,F4,male,LSD,2.59,7.722594679,16.25951127,56.37824024
Pilot,F4,male,LSD,2.42,5.009139332,15.67681378,54.00835122
Pilot,F4,male,LSD,2.5,6.058603112,18.4485459,57.22097466
Pilot,F4,male,LSD,2.38,4.995113373,16.82748299,47.84999761
Pilot,F4,male,LSD,2.5,5.759189417,16.47485379,55.72098394
Pilot,F4,male,LSD,2.55,9.141069048,16.88996572,66.7933649
Pilot,F4,male,LSD,2.52,6.955926593,17.47656482,57.62437615
Pilot,F4,male,CD,2.57,8.822751736,10.68712874,40.56846369
Pilot,F4,male,CD,2.66,8.494202332,11.47368091,53.47535163
Pilot,F4,male,CD,2.7,8.131558204,10.8900808,59.47146112
Pilot,F4,male,CD,2.6,5.917631118,14.08470315,50.79315287
Pilot,F4,male,CD,2.52,13.84093246,11.07976463,30.45934114
Pilot,F4,male,CD,2.45,6.887101187,12.6262014,57.80855513
Pilot,F4,male,CD,2.64,7.155478582,14.03901634,34.99059766
Pilot,F4,male,CD,2.56,7.270097514,13.79944646,57.3780154
Pilot,F4,male,HSD,2.57,5.138234025,18.31104315,78.92804492
Pilot,F4,male,HSD,2.54,6.430009499,14.44809771,53.43333741
Pilot,F4,male,HSD,2.54,9.22707364,17.2387199,72.59584666
Pilot,F4,male,HSD,2.54,7.520575314,18.79551884,62.03846129
