Generation,Sex,Treatment,Sugar Weight,Glucose,Trehalose,Glycogen
F0,female,HSD,3.45,9.81693501,38.520231,97.29625117
F0,female,HSD,3.68,0,47.90596493,241.9510661
F1,male,NSD,2.51,24.49954392,11.83875254,127.5033952
F1,male,NSD,2.42,6.961129982,16.62972466,72.97662831
F1,male,NSD,2.4,5.825172641,16.17039,41.41773699
F1,male,NSD,2.5,9.589903491,12.26406396,57.854217
F1,male,NSD,2.58,7.363094431,13.67778828,57.48607435
F1,male,NSD,2.42,8.87192623,16.43451615,61.83001633
F1,male,NSD,2.56,9.323608233,20.58733317,58.17309569
F1,male,NSD,2.58,9.481159144,37.96934918,95.63800606
F1,male,LSD,2.59,5.395518111,14.87258779,51.06014432
F1,male,LSD,2.44,7.05064171,14.37016231,41.79800634
F1,male,LSD,2.51,9.895233551,17.22820152,60.39544873
F1,male,LSD,2.67,10.7841233,16.86310144,50.6740695
F1,male,LSD,2.72,10.57211669,17.24398802,44.61110913
F1,male,LSD,2.64,16.04427426,18.21279514,33.00700081
F1,male,LSD,2.67,10.66928801,35.69256692,50.8433915
F1,male,LSD,2.54,10.19459093,28.69646211,72.37210151
F1,male,CD,2.54,6.188084111,12.50629824,121.1470635
F1,male,CD,2.61,6.605100335,23.33529984,54.356342
F1,male,CD,2.42,3.602794848,17.75419801,52.70433997
F1,male,CD,2.43,8.042328851,3.963875705,20.64623448
F1,male,CD,2.66,8.590443695,7.848754947,43.39467737
F1,male,CD,2.37,6.428251301,22.8772432,37.6527952
F1,male,CD,2.42,6.854486651,10.8151463,35.98337974
F1,male,CD,2.42,5.18453189,16.45171492,55.22825482
F1,male,HSD,2.62,6.968286718,45.37963323,64.83739597
F1,male,HSD,2.62,5.483592033,22.75214282,109.4084188
F1,male,HSD,2.61,5.01735581,29.45823413,85.48251764
F1,male,HSD,2.51,4.161604517,16.12413006,39.06303586
F1,male,HSD,2.27,4.470581036,18.381877,36.82525784
F1,male,HSD,2.53,5.847680542,53.55595525,61.60628589
F1,male,HSD,2.56,6.163719641,38.04790575,128.5153826
F1,male,HSD,2.58,6.579207036,44.21124882,42.87018847
F1,female,NSD,3.8,18.30516783,17.94334721,130.6041505
F1,female,NSD,3.91,9.24848821,17.95097669,142.9582407
F1,female,NSD,4.05,10.80947605,24.70685096,105.7583564
F1,female,NSD,3.43,9.784429467,14.19394703,74.61613215
F1,female,NSD,3.43,7.182572197,25.49589028,72.94083712
F1,female,NSD,3.39,13.94846114,17.12686861,71.03858258
F1,female,NSD,3.68,13.96209085,21.96811197,65.54923209
F1,female,NSD,3.93,9.169130486,25.64461962,80.54333969
F1,female,LSD,3.43,8.13986328,15.50798605,78.66065376
F1,female,LSD,3.4,6.257922962,7.757444345,51.80494299
F1,female,LSD,3.55,6.91387334,17.68672762,67.55293188
F1,female,LSD,3.4,10.21350346,13.91573817,118.8393516
F1,female,LSD,3.28,13.20595279,17.04156757,61.86037767
F1,female,LSD,3.94,12.61515734,26.24892982,133.9539983
F1,female,LSD,3.74,13.18591744,6.851543177,78.85018345
F1,female,LSD,3.79,13.10215309,5.329066728,111.0209761
F1,female,CD,3.56,13.01028752,13.6083906,95.84433895
F1,female,CD,3.58,13.04433652,33.6926199,73.90489096
F1,female,CD,3.54,11.00513717,24.87221896,87.37090128
F1,female,CD,3.45,4.711049201,25.13604223,77.56661687
F1,female,CD,3.89,13.11000396,35.32251013,104.0820784
F1,female,CD,3.71,10.79403771,30.33380463,111.7133094
F1,female,CD,3.42,6.10372375,41.85713644,69.354638
F1,female,CD,4.02,12.56910648,33.6708163,164.5046812
F1,female,HSD,3.81,2.898562841,25.05971461,237.8840752
F1,female,HSD,3.44,6.492484909,20.3331625,93.49441218
F1,female,HSD,3.65,7.074721813,12.38359563,68.76285215
F1,female,HSD,3.57,8.891540604,26.77572854,85.12403451
F1,female,HSD,3.79,9.882101638,38.38838434,94.0158546
F1,female,HSD,3.68,10.94011798,29.7706512,118.0054324
F1,female,HSD,3.12,8.308723523,44.82759199,67.50198449
F1,female,HSD,3.4,9.444285263,21.56684707,116.3882667
F2,male,NSD,2.51,22.12329281,12.75342847,43.39499005
F2,male,NSD,2.64,15.7112372,10.38417267,36.86711336
F2,male,NSD,2.56,7.997045018,21.07083549,42.32833269
F2,male,NSD,2.58,8.827164992,19.01286112,20.55140036
F2,male,NSD,2.52,10.06463319,16.88612786,25.34057742
F2,male,NSD,2.54,13.04655429,13.57562362,32.43185898
F2,male,NSD,2.66,11.99055522,23.43903861,32.02426173
F2,male,NSD,2.33,10.20113799,15.0709406,33.45170415
F2,male,LSD,2.62,8.010341093,21.69651173,68.5486735
F2,male,LSD,2.4,8.04285955,13.75228604,52.82164372
F2,male,LSD,2.52,10.99757825,13.54092711,69.55032906
F2,male,LSD,2.48,11.06100243,15.9868658,55.93482727
F2,male,LSD,2.48,12.25740847,11.28012421,58.19625907
F2,male,LSD,2.59,14.84744918,16.5212556,59.90725801
F2,male,LSD,2.58,13.60807952,23.09057279,54.15429493
F2,male,LSD,2.39,15.90096592,24.53319638,78.89118034
F2,male,CD,2.63,9.665659079,9.335829188,73.62537697
F2,male,CD,2.73,11.44024203,14.41586735,71.41591561
F2,male,CD,2.65,15.94320691,13.80360126,60.91782176
F2,male,CD,2.63,16.20936253,16.52785779,62.21418492
F2,male,CD,2.48,12.09088737,15.57383356,84.89571774
F2,male,CD,2.3,10.85109988,19.0750674,36.35011852
F2,male,CD,2.58,10.39169276,19.80640161,75.0408128
F2,male,CD,2.54,11.98897604,28.30351949,63.77980319
F2,male,HSD,2.59,7.23659433,5.435616477,45.27061306
F2,male,HSD,2.43,8.652238746,13.65595839,58.53972372
F2,male,HSD,2.55,9.059283088,6.499671988,33.58765607
F2,male,HSD,2.62,8.442087611,10.50339922,32.83235864
F2,male,HSD,2.43,7.61002586,18.39661567,27.34920846
F2,male,HSD,2.7,7.899915651,9.325880716,29.92049361
F2,male,HSD,2.54,10.47642341,10.00311791,35.86111881
F2,male,HSD,2.55,8.485533544,8.642991253,39.43422568
F2,female,NSD,3.62,7.279156562,11.02438505,70.04001777
F2,female,NSD,3.89,14.47717237,17.32644947,98.17541433
F2,female,NSD,3.67,14.30383222,20.42977247,67.94321723
F2,female,NSD,3.42,11.81397663,13.34807645,24.39485013
F2,female,NSD,3.2,20.47746498,31.21006205,104.4155447
F2,female,NSD,3.63,19.29355888,126.8651267,76.3903276
F2,female,NSD,3.61,19.90672143,24.29185135,92.66485605
F2,female,NSD,3.45,18.86921561,25.41798266,104.2614191
F2,female,LSD,3.36,10.90471218,3.214808909,49.88378674
F2,female,LSD,3.41,13.15344761,19.69905542,59.24562861
F2,female,LSD,3.6,12.35817037,10.91313198,29.63870144
F2,female,LSD,3.64,15.75770433,16.95459004,55.68263182
F2,female,LSD,3.66,16.98851828,22.39752703,63.32719053
F2,female,LSD,3.41,18.07056114,14.74993722,46.13099303
F2,female,LSD,3.75,18.54401367,15.86258981,39.24354047
F2,female,LSD,3.33,18.53220177,21.4444441,34.08241506
F2,female,CD,3.48,12.76962307,16.93533987,150.311789
F2,female,CD,3.25,10.56058131,8.362441998,40.84718668
F2,female,CD,3.82,14.48641202,19.74248795,100.358231
F2,female,CD,3.23,13.63701013,18.56914117,65.72201205
F2,female,CD,3.34,13.81169186,12.78598687,44.59612371
F2,female,CD,3.86,19.24799584,34.50130611,119.1556924
F2,female,CD,3.14,12.91324924,13.88290285,36.18337755
F2,female,CD,3.34,13.35289866,14.60761541,62.8870207
F2,female,HSD,3.59,11.86240586,13.11365871,85.24042198
F2,female,HSD,3.75,12.30239477,12.97604406,47.15666337
F2,female,HSD,3.48,13.06207272,6.471579214,78.3732327
F2,female,HSD,3.44,11.88584821,22.52516725,44.53348577
F2,female,HSD,3.84,6.637915014,12.28762765,25.09606034
F2,female,HSD,3.73,11.97820371,19.9412345,50.93155488
F2,female,HSD,3.88,17.40655359,34.92916554,87.39936142
F2,female,HSD,3.76,13.77452512,22.43782816,76.90991573
F3,male,NSD,2.59,7.890189476,12.76323832,83.29809097
F3,male,NSD,2.71,8.435742679,12.63112134,65.85819119
F3,male,NSD,2.29,5.019158505,10.98574747,51.67740822
F3,male,NSD,2.52,8.580351683,16.58971658,56.92956321
F3,male,NSD,2.32,7.204205829,17.73124213,45.30784359
F3,male,NSD,2.32,8.618822956,19.79190744,33.72075332
F3,male,NSD,2.47,9.004144857,15.8572564,45.99082567
F3,male,NSD,2.59,9.695753467,15.58655122,55.56278367
F3,male,LSD,2.55,4.732243418,7.127967475,46.654928
F3,male,LSD,2.41,8.401755072,6.551852193,63.66618468
F3,male,LSD,2.23,5.938906929,59.89838793,72.86608165
F3,male,LSD,2.42,8.306903121,11.4530141,53.59453768
F3,male,LSD,2.35,8.336894605,10.03274253,37.82608301
F3,male,LSD,2.47,8.371718028,14.05578173,51.87515526
F3,male,LSD,2.43,7.413620266,55.83172341,32.08976903
F3,male,LSD,2.5,6.88684287,6.08752127,31.65455038
F3,male,CD,2.59,7.807607217,4.558670095,76.35016931
F3,male,CD,2.48,9.050567075,5.928987056,59.20032258
F3,male,CD,2.54,8.998047797,38.06976008,77.98668434
F3,male,CD,2.58,15.98830571,2.930728624,30.58565563
F3,male,CD,2.51,10.29371882,3.808068355,49.34352483
F3,male,CD,2.59,7.86717656,8.686596001,56.31545727
F3,male,CD,2.36,8.919401576,6.431160391,50.00332151
F3,male,CD,2.52,8.708839528,16.34280307,5.009130855
F3,male,HSD,2.6,8.973753782,10.98118571,52.82140548
F3,male,HSD,2.74,9.01537241,30.93798478,49.64311003
F3,male,HSD,2.35,8.390779131,26.57648104,42.26809742
F3,male,HSD,2.48,7.350756643,22.64279903,52.26103083
F3,male,HSD,2.58,11.48294574,12.8584666,34.96702137
F3,male,HSD,2.61,9.707442579,10.3504544,33.44806394
F3,male,HSD,2.61,13.09575384,19.47472183,53.38460699
F3,male,HSD,2.56,8.11975705,16.92351707,36.94467274
F3,female,NSD,3.61,7.42990537,68.21284113,57.23050819
F3,female,NSD,3.37,4.844748436,4.216692155,19.40244997
F3,female,NSD,3.92,14.79657582,25.25319317,95.1967367
F3,female,NSD,3.83,15.63435738,28.48780694,112.1957442
F3,female,NSD,3.79,11.58647555,19.43618114,57.46376665
F3,female,NSD,3.35,13.20324773,18.39074833,49.52183088
F3,female,NSD,3.57,11.16499655,20.89375532,77.17476171
F3,female,NSD,3.64,7.761470294,23.48280685,114.2023545
F3,female,LSD,3.54,5.97699511,16.06205673,68.10728353
F3,female,LSD,4.07,12.38329156,19.37312002,75.84845482
F3,female,LSD,3.27,7.502224021,23.47070783,35.60868396
F3,female,LSD,3.55,12.42112279,29.36266652,70.60863573
F3,female,LSD,3.71,7.273544729,14.60453632,36.49813038
F3,female,LSD,3.68,11.89310223,23.46132851,106.3431922
F3,female,LSD,3.47,9.671924022,15.06209934,57.60727024
F3,female,LSD,3.72,15.05165804,23.45076781,71.49057148
F3,female,CD,3.81,8.584809868,15.61861879,121.0804188
F3,female,CD,3.83,9.291561718,8.522422542,61.80845051
F3,female,CD,3.87,12.68518646,15.45624699,64.62162397
F3,female,CD,3.7,13.66732467,10.92995616,47.09838816
F3,female,CD,4.08,15.54287132,15.84495465,58.3566878
F3,female,CD,3.81,9.692036308,12.21583554,44.62055966
F3,female,CD,3.82,15.05169835,14.85651758,41.80726517
F3,female,CD,3.63,14.65764388,19.67843827,27.02076814
F3,female,HSD,3.87,4.392894314,4.460028664,26.24947331
F3,female,HSD,3.29,6.070832068,12.59888636,39.35833326
F3,female,HSD,4.03,9.8366009,8.995199038,-12.62173719
F3,female,HSD,3.97,11.1482487,18.2929269,109.2558035
F3,female,HSD,3.46,6.781078608,5.251967122,26.04791378
F3,female,HSD,3.5,7.9506493,10.84851479,55.87322431
F3,female,HSD,3.61,8.843414725,12.39219787,49.14530611
F3,female,HSD,3.95,11.98679797,13.35125583,93.12843723
F4,male,NSD,2.42,4.635723136,46.97446525,38.83111826
F4,male,NSD,2.4,5.431737099,15.11221393,45.07995246
F4,male,NSD,2.64,7.636171168,19.44246639,55.3965941
F4,male,NSD,2.5,7.053303063,22.81396417,63.58731523
F4,male,NSD,2.44,6.95328727,19.25214218,57.56284473
F4,male,NSD,2.32,4.313885177,18.33893622,42.09647375
F4,male,NSD,2.35,7.448141935,16.18490726,55.18949933
F4,male,NSD,2.47,8.624694017,23.91401459,49.50733438
F4,male,LSD,2.46,2.886036785,14.05845891,54.53733398
F4,male,LSD,2.59,7.722594679,16.25951127,56.37824024
F4,male,LSD,2.42,5.009139332,15.67681378,54.00835122
F4,male,LSD,2.5,6.058603112,18.4485459,57.22097466
F4,male,LSD,2.38,4.995113373,16.82748299,47.84999761
F4,male,LSD,2.5,5.759189417,16.47485379,55.72098394
F4,male,LSD,2.55,9.141069048,16.88996572,66.7933649
F4,male,LSD,2.52,6.955926593,17.47656482,57.62437615
F4,male,CD,2.57,8.822751736,10.68712874,40.56846369
F4,male,CD,2.66,8.494202332,11.47368091,53.47535163
F4,male,CD,2.7,8.131558204,10.8900808,59.47146112
F4,male,CD,2.6,5.917631118,14.08470315,50.79315287
F4,male,CD,2.52,13.84093246,11.07976463,30.45934114
F4,male,CD,2.45,6.887101187,12.6262014,57.80855513
F4,male,CD,2.64,7.155478582,14.03901634,34.99059766
F4,male,CD,2.56,7.270097514,13.79944646,57.3780154
F4,male,HSD,2.57,5.138234025,18.31104315,78.92804492
F4,male,HSD,2.54,6.430009499,14.44809771,53.43333741
F4,male,HSD,2.54,9.22707364,17.2387199,72.59584666
F4,male,HSD,2.54,7.520575314,18.79551884,62.03846129
F4,male,HSD,2.69,10.68012422,17.76492418,76.8891647
F4,male,HSD,2.56,8.70223319,20.2298258,41.15308325
F4,male,HSD,2.56,8.05731564,17.04089981,38.88128543
F4,male,HSD,2.55,9.376058733,37.18423511,57.00026594
F4,female,NSD,3.68,10.67638728,17.88388511,120.8134176
F4,female,NSD,3.03,9.349033953,16.89701019,81.96684782
F4,female,NSD,3.43,11.87110469,15.51482862,75.28414608
F4,female,NSD,3.6,13.86206882,24.16861857,146.7387556
F4,female,NSD,3.59,13.95564611,20.78148941,65.42039299
F4,female,NSD,3.64,12.36048645,23.5673835,50.73343557
F4,female,NSD,3.79,12.16471049,19.02374844,41.11516834
F4,female,NSD,3.56,12.37774376,18.19677743,21.81287749
F4,female,LSD,3.36,8.77015408,17.12612724,72.82798297
F4,female,LSD,3.48,9.879234301,20.89145354,94.46095921
F4,female,LSD,3.95,14.2894721,22.52725711,88.67196166
F4,female,LSD,3.24,9.803498334,15.6902956,77.18738029
F4,female,LSD,3.7,12.97419256,17.44765021,62.74614872
F4,female,LSD,3.56,9.468313953,25.50464356,58.08722215
F4,female,LSD,3.1,7.374876371,17.84985732,36.12472112
F4,female,LSD,3.55,10.91540983,23.80669167,116.2559564
F4,female,CD,3.68,7.091383812,19.5947865,120.655344
F4,female,CD,3.96,11.103582,16.45697345,100.0161599
F4,female,CD,3.79,11.9374024,17.67486592,122.2037053
F4,female,CD,3.8,11.35556616,12.22397821,34.57472806
F4,female,CD,3.17,6.51305256,8.208075796,40.49656167
F4,female,CD,3.8,8.735800048,19.03901407,145.2324354
F4,female,CD,3.52,8.358044023,12.05356844,60.75413814
F4,female,CD,3.74,13.16451982,17.33644256,75.8937548
F4,female,HSD,3.57,8.44912787,23.37806821,110.0831948
F4,female,HSD,3.92,8.388817861,16.92613388,76.23269221
F4,female,HSD,3.74,15.70204069,21.30548471,119.6515489
F4,female,HSD,3.83,13.43459543,23.82937849,135.0753939
F4,female,HSD,3.56,11.55334155,18.79401072,65.03461978
F4,female,HSD,3.99,16.92086611,22.45808262,114.8303252
F4,female,HSD,3.62,19.57712626,27.22202775,143.2784455
F4,female,HSD,3.92,15.52802407,20.28470419,77.41082971
F5,male,NSD,2.49,4.862429892,7.362180316,73.84738092
F5,male,NSD,2.63,6.606023985,13.1790084,63.91777036
F5,male,NSD,2.64,6.341866978,12.14699626,55.75599112
F5,male,NSD,2.67,5.245895306,12.11255978,35.02912897
F5,male,NSD,2.52,3.789248679,6.27597723,21.68283456
F5,male,NSD,2.62,6.388534797,13.17910316,56.36406058
F5,male,NSD,2.56,5.665097826,16.07838896,63.82643604
F5,male,NSD,2.57,4.387054404,13.61343559,25.92552389
F5,male,LSD,2.71,6.255015896,7.365694952,42.58498102
F5,male,LSD,2.62,6.291123212,9.732948476,32.92304081
F5,male,LSD,2.44,6.488396546,12.80075149,49.99415339
F5,male,LSD,2.65,2.549874323,17.62720654,43.59137949
F5,male,LSD,2.58,8.417752993,13.95614315,67.31443854
F5,male,LSD,2.59,5.364780235,10.50422027,25.92241605
F5,male,LSD,2.55,6.268474838,23.22532946,48.03583035
F5,male,LSD,2.62,8.062972799,15.70647098,44.47717325
F5,male,CD,2.51,6.529553984,9.430958262,59.34023487
F5,male,CD,2.5,5.404044475,8.605486152,34.62560239
F5,male,CD,2.64,8.011658844,12.44765645,48.8423373
F5,male,CD,2.47,6.612231152,13.71050346,51.56828286
F5,male,CD,2.41,7.847294385,13.91022654,72.3952539
F5,male,CD,2.57,12.0017842,7.387602576,34.47015062
F5,male,CD,2.38,6.354425803,13.51848616,58.70420182
F5,male,CD,2.51,4.557161818,11.82177669,34.51473643
F5,male,HSD,2.47,7.285343331,22.50638027,49.8576308
F5,male,HSD,2.43,7.424547387,10.56832137,54.25011183
F5,male,HSD,2.39,8.589087494,14.85222216,46.38947011
F5,male,HSD,2.61,8.968538204,16.80648231,60.94543104
F5,male,HSD,2.49,8.603878075,15.88459412,74.23575341
F5,male,HSD,2.51,8.286589758,18.26247618,51.64307911
F5,male,HSD,2.55,7.114158435,15.75035355,59.52805937
F5,male,HSD,2.46,7.825183088,14.28050921,51.71184705
F5,female,NSD,3.9,5.991881134,13.41842768,108.1206994
F5,female,NSD,3.93,12.58359271,18.9114767,153.2646905
F5,female,NSD,3.84,12.05474016,20.87024603,144.4960124
F5,female,NSD,3.79,8.47117823,14.36033441,72.39153226
F5,female,NSD,3.58,6.203800204,18.79339818,65.7453271
F5,female,NSD,3.75,7.870011197,16.00600284,67.17289188
F5,female,NSD,3.78,11.78913409,21.02846562,108.4555075
F5,female,NSD,3.99,11.28430391,15.59501122,75.42140269
F5,female,LSD,4.05,13.30507431,19.23591332,140.8562422
F5,female,LSD,3.81,8.08396927,13.0882155,39.70448109
F5,female,LSD,3.78,9.645574457,17.18173626,69.93764361
F5,female,LSD,4.05,10.0478784,15.9322525,68.50550531
F5,female,LSD,3.96,11.11570122,25.70828084,58.74947231
F5,female,LSD,3.63,8.982523419,18.70484637,80.41354553
F5,female,LSD,3.93,14.14103717,21.2012669,59.94357231
F5,female,LSD,3.87,11.23013925,15.70156127,54.65076583
F5,female,CD,3.87,11.30566509,18.54387831,114.6415797
F5,female,CD,3.51,6.803147132,15.27770634,68.44912102
F5,female,CD,3.32,12.20870313,20.09204716,57.69692312
F5,female,CD,3.44,11.80364305,22.01569438,95.82119083
F5,female,CD,3.48,9.365093639,21.99035786,65.95295104
F5,female,CD,3.48,14.07789577,33.68639149,78.60777333
F5,female,CD,3.59,12.73165141,35.33562737,46.5781977
F5,female,CD,3.66,12.60672447,19.37070572,62.7903213
F5,female,HSD,3.85,12.21752916,23.11348477,140.5633699
F5,female,HSD,3.71,11.0290889,33.76713315,97.98132468
F5,female,HSD,3.64,12.56319729,25.76792027,136.3834522
F5,female,HSD,3.77,12.28363335,21.53919199,136.9087077
F5,female,HSD,3.76,13.5154394,24.11348477,135.3816582
F5,female,HSD,3.66,9.747464157,32.76713315,144.244149
F5,female,HSD,3.48,14.91110507,25.76792027,170.412459
F5,female,HSD,3.65,9.643732448,19.53919199,152.3642619
