Study,Generation,Treatment,Sex,Sugar.Weight,Glucose,Trehalose,Glycogen
Main,F1,NSD,male,2.47,10.79649999,19.81375378,9.283951235
Main,F1,NSD,male,2.42,10.93571888,13.56336703,16.03092739
Main,F1,NSD,male,2.37,14.19882188,10.89881286,14.69532035
Main,F1,NSD,male,2.42,12.87895915,18.3934432,14.09073143
Main,F1,NSD,male,2.52,10.26477747,13.32052097,12.14314185
Main,F1,NSD,male,2.5,10.83274387,12.25560847,8.978368432
Main,F1,NSD,male,2.51,10.44121502,14.49536902,17.17762573
Main,F1,NSD,male,2.39,12.41126893,16.07790883,6.259224005
Main,F1,NSD,male,2.57,9.380534255,6.817229324,30.78972741
Main,F1,NSD,male,2.68,9.580223347,12.30360554,25.35624657
Main,F1,NSD,male,2.45,9.857904056,9.493218572,17.14929466
Main,F1,NSD,male,2.45,8.51846529,10.73372616,20.17492193
Main,F1,NSD,male,2.58,7.949630517,9.527789184,21.03624575
Main,F1,NSD,male,2.65,7.984117951,7.129227881,21.13381414
Main,F1,NSD,male,2.65,9.202187871,6.648844441,16.46231091
Main,F1,NSD,male,2.45,10.20212934,9.040773161,20.69898563
Main,F1,NSD,male,2.59,10.8034789,3.556019122,23.09636268
Main,F1,NSD,male,2.6,10.37854788,8.347192998,23.18629194
Main,F1,NSD,male,2.58,9.062229298,8.85747924,29.38781011
Main,F1,NSD,male,2.56,6.684174963,3.310035818,23.28659895
Main,F1,NSD,male,2.52,7.496113376,5.629724303,25.45969003
Main,F1,NSD,male,2.49,7.905297114,4.38978328,20.32948021
Main,F1,NSD,male,2.53,7.654635662,5.715022912,26.10917349
Main,F1,NSD,female,3.5,11.28591015,12.73285876,23.42851584
Main,F1,NSD,female,3.48,10.3527926,14.27359055,15.31307797
Main,F1,NSD,female,3.68,12.74781585,15.09614365,24.54479904
Main,F1,NSD,female,3.44,14.63879294,15.5235814,19.76063331
Main,F1,NSD,female,3.8,15.6103066,18.73951203,33.920407
Main,F1,NSD,female,3.64,10.63296779,14.32608243,15.19022747
Main,F1,NSD,female,3.87,9.814183895,16.72556064,17.98255045
Main,F1,NSD,female,3.64,17.41345524,21.79917305,28.43534695
Main,F1,NSD,female,3.48,9.457064835,11.8245155,23.45881907
Main,F1,NSD,female,3.52,10.12475784,12.20890991,20.79902953
Main,F1,NSD,female,3.69,7.959691275,12.81066381,18.24485369
Main,F1,NSD,female,3.71,15.01813491,18.00510095,21.56814617
Main,F1,NSD,female,3.59,17.53711465,20.61105887,30.61149455
Main,F1,NSD,female,3.62,13.26317783,18.76663706,25.25829255
Main,F1,NSD,female,3.62,18.08418855,29.12405981,31.01721061
Main,F1,NSD,female,3.54,14.01428645,17.17450295,28.63679336
Main,F1,NSD,female,3.5,11.95365353,10.13484519,15.80616302
Main,F1,NSD,female,3.4,16.61506754,13.80929603,25.98165611
Main,F1,NSD,female,3.56,14.51582717,19.03226048,26.35571249
Main,F1,NSD,female,3.63,10.21458537,13.46439218,21.99421491
Main,F1,NSD,female,3.41,12.02908944,21.82947271,34.95825614
Main,F1,NSD,female,3.45,11.9679559,14.70602068,24.57877885
Main,F1,NSD,female,3.45,15.90606007,17.42762232,47.0065054
Main,F1,NSD,female,3.82,17.08964135,21.31378629,37.56189637
Main,F1,NSD,female,3.51,14.68644195,26.64083845,37.2913734
Main,F1,NSD,female,3.64,14.60413293,19.68883486,28.69232448
Main,F1,NSD,female,3.45,21.32664061,18.02910598,42.48748155
Main,F1,NSD,female,3.42,9.898057978,6.952640464,24.60117037
Main,F1,NSD,female,3.86,17.29247199,21.2321327,43.04627171
Main,F1,NSD,female,3.5,12.95867656,10.6317036,30.69568652
Main,F1,NSD,female,3.49,13.46280697,18.24433899,35.51416507
Main,F1,NSD,female,3.65,18.83971762,20.23446733,39.6955505
