Generation,Treatment,Sex,SampleNo,Sugar.Weight,Glucose,Trehalose,Glycogen,Fat.Weight,TAG,Fit.Weight,Fitness
F0,HSD,female,27,NA,NA,NA,NA,NA,NA,1.12,132
F0,HSD,female,28,NA,NA,NA,NA,NA,NA,1.08,28
F0,HSD,female,29,NA,NA,NA,NA,NA,NA,0.72,7
F0,HSD,female,30,NA,NA,NA,NA,NA,NA,1.02,0
F0,CD,male,1,2.64,9.206460949,6.673863934,12.4501169,2.49,50.8891752,NA,NA
F0,CD,male,2,2.41,12.28336791,20.11164135,15.02488237,2.64,54.12644055,NA,NA
F0,CD,male,3,2.53,8.433211739,1.224646291,10.15092375,2.6,70.84825148,NA,NA
F0,CD,male,4,2.57,10.82543659,21.41634612,12.49638116,2.39,51.82757704,NA,NA
F0,CD,male,5,2.46,12.27317619,14.84430623,8.419626328,2.65,38.730633,NA,NA
F0,CD,male,6,2.51,14.1364231,2.367726219,6.200966172,2.53,67.54039241,NA,NA
F0,CD,male,7,2.57,9.395482697,3.376187403,5.10939237,2.65,51.93318126,NA,NA
F0,CD,male,8,2.46,8.665789137,15.70782789,20.19383522,2.55,55.37549609,NA,NA
F0,CD,male,9,2.5,12.56554751,13.89148452,7.500522899,2.63,65.0531988,NA,NA
F0,CD,male,10,2.54,10.949444,24.6415246,4.835188476,2.63,77.44252492,NA,NA
F0,CD,male,11,2.49,8.473535358,5.282565299,9.425922734,2.43,55.59516506,NA,NA
F0,CD,female,1,3.59,11.52331538,3.385247582,15.17173356,3.95,71.23312997,1.08,5
F0,CD,female,2,3.66,9.808081808,10.40766722,25.7157785,4.03,83.686435,1.31,84
F0,CD,female,3,3.27,14.33497505,18.36360935,18.8935119,3.76,58.3302483,1.23,169
F0,CD,female,4,3.39,14.34905623,17.89862371,31.9963183,3.42,74.815333,1.26,176
F0,CD,female,5,3.53,14.5218592,9.236452367,12.30006837,3.66,71.23903368,1.4,145
F0,CD,female,6,3.72,15.73473637,9.659353321,27.72114944,3.78,84.79541072,1.04,30
F0,CD,female,7,3.55,13.35028208,11.32683561,17.79552356,3.66,45.57030549,1.07,14
F0,CD,female,8,3.4,12.2091536,12.86411125,28.38611084,3.48,52.2388988,0.93,1
F0,CD,female,9,3.23,9.851665343,24.90631453,16.09229911,3.57,59.48455625,1.34,129
F0,CD,female,10,3.82,15.5919065,17.11099334,50.48429574,3.74,58.09057879,1.37,115
F0,CD,female,11,3.68,24.41878635,10.50090283,26.36505828,3.32,77.45827148,1.19,71
F0,CD,female,12,NA,NA,NA,NA,NA,NA,1.4,86
F0,CD,female,13,NA,NA,NA,NA,NA,NA,1.32,142
F0,CD,female,14,NA,NA,NA,NA,NA,NA,1,87
F0,CD,female,15,NA,NA,NA,NA,NA,NA,1.3,142
F0,CD,female,16,NA,NA,NA,NA,NA,NA,1.12,91
F0,CD,female,17,NA,NA,NA,NA,NA,NA,1.2,172
F0,CD,female,18,NA,NA,NA,NA,NA,NA,1.42,68
F0,CD,female,19,NA,NA,NA,NA,NA,NA,0.96,27
F0,CD,female,20,NA,NA,NA,NA,NA,NA,0.85,0
F0,CD,female,21,NA,NA,NA,NA,NA,NA,1.22,81
F0,CD,female,22,NA,NA,NA,NA,NA,NA,1.26,226
F0,CD,female,23,NA,NA,NA,NA,NA,NA,1.14,69
F0,CD,female,24,NA,NA,NA,NA,NA,NA,0.92,0
F0,CD,female,25,NA,NA,NA,NA,NA,NA,1.17,78
F0,CD,female,26,NA,NA,NA,NA,NA,NA,1.24,155
F0,CD,female,27,NA,NA,NA,NA,NA,NA,1.18,32
F0,CD,female,28,NA,NA,NA,NA,NA,NA,1.04,104
F0,CD,female,29,NA,NA,NA,NA,NA,NA,1.23,28
F0,CD,female,30,NA,NA,NA,NA,NA,NA,1.32,192
F1,NSD,male,1,2.64,8.889663367,6.977262557,16.90131068,2.57,37.03078621,NA,NA
F1,NSD,male,2,2.4,6.37769738,9.031013376,22.23074043,2.55,37.5258131,NA,NA
F1,NSD,male,3,2.7,11.61912605,7.047130759,15.00707279,2.55,37.29898021,NA,NA
F1,NSD,male,4,2.79,10.67144384,10.06550259,10.31056135,2.69,32.98085473,NA,NA
F1,NSD,male,5,2.59,10.75842492,7.363134564,19.410767,2.61,34.97876389,NA,NA
F1,NSD,male,6,2.49,10.40625157,9.839314396,7.421581978,2.58,47.0710999,NA,NA
F1,NSD,male,7,2.68,7.852081087,5.339090724,14.24209984,2.5,55.20709813,NA,NA
F1,NSD,male,8,2.58,14.19850324,5.316837571,5.43248542,2.53,33.94158793,NA,NA
F1,NSD,male,9,2.48,9.439344994,8.282900359,7.68108988,2.44,39.87973523,NA,NA
F1,NSD,male,10,2.42,11.04342824,9.362203082,4.635900481,2.55,27.94233663,NA,NA
F1,NSD,male,11,2.47,10.79649999,19.81375378,9.283951235,2.5,24.22373995,NA,NA
F1,NSD,male,12,2.42,10.93571888,13.56336703,16.03092739,2.47,30.31970345,NA,NA
F1,NSD,male,13,2.37,14.19882188,10.89881286,14.69532035,2.37,30.111375,NA,NA
F1,NSD,male,14,2.42,12.87895915,18.3934432,14.09073143,2.53,27.21602075,NA,NA
F1,NSD,male,15,2.52,10.26477747,13.32052097,12.14314185,2.5,34.2973435,NA,NA
F1,NSD,male,16,2.5,10.83274387,12.25560847,8.978368432,2.56,31.36258972,NA,NA
