Generation,Treatment,Sex,SampleNo,Sugar.Weight,Glucose,Trehalose,Glycogen,Fat.Weight,TAG,DAG,Fit.Weight,Fitness
F0,CD,female,13,NA,NA,NA,NA,NA,NA,NA,1.32,142
F0,CD,female,14,NA,NA,NA,NA,NA,NA,NA,1,87
F0,CD,female,15,NA,NA,NA,NA,NA,NA,NA,1.3,142
F0,CD,female,16,NA,NA,NA,NA,NA,NA,NA,1.12,91
F0,CD,female,17,NA,NA,NA,NA,NA,NA,NA,1.2,172
F0,CD,female,18,NA,NA,NA,NA,NA,NA,NA,1.42,68
F0,CD,female,19,NA,NA,NA,NA,NA,NA,NA,0.96,27
F0,CD,female,20,NA,NA,NA,NA,NA,NA,NA,0.85,0
F0,CD,female,21,NA,NA,NA,NA,NA,NA,NA,1.22,81
F0,CD,female,22,NA,NA,NA,NA,NA,NA,NA,1.26,226
F0,CD,female,23,NA,NA,NA,NA,NA,NA,NA,1.14,69
F0,CD,female,24,NA,NA,NA,NA,NA,NA,NA,0.92,0
F0,CD,female,25,NA,NA,NA,NA,NA,NA,NA,1.17,78
F0,CD,female,26,NA,NA,NA,NA,NA,NA,NA,1.24,155
F0,CD,female,27,NA,NA,NA,NA,NA,NA,NA,1.18,32
F0,CD,female,28,NA,NA,NA,NA,NA,NA,NA,1.04,104
F0,CD,female,29,NA,NA,NA,NA,NA,NA,NA,1.23,28
F0,CD,female,30,NA,NA,NA,NA,NA,NA,NA,1.32,192
F1,NSD,male,1,2.64,7.9144,3.432,22.7722,2.57,37.03078621,7.753631837,NA,NA
F1,NSD,male,2,2.4,5.3326,5.8782,27.4865,2.55,37.5258131,10.93206653,NA,NA
F1,NSD,male,3,2.7,10.7197,3.0754,21.5465,2.55,37.29898021,13.18036287,NA,NA
F1,NSD,male,4,2.79,9.7457,6.2418,16.6179,2.69,32.98085473,18.52833508,NA,NA
F1,NSD,male,5,2.59,9.835,3.5259,25.7394,2.61,34.97876389,17.67788676,NA,NA
F1,NSD,male,6,2.49,9.4731,6.0571,13.6639,2.58,47.0710999,19.08970836,NA,NA
F1,NSD,male,7,2.68,6.848,1.956,19.8589,2.5,55.20709813,18.28457027,NA,NA
F1,NSD,male,8,2.58,10.5929,4.0671,14.6444,2.53,33.94158793,15.87122877,NA,NA
F1,NSD,male,9,2.48,8.4793,4.6518,13.6866,2.44,39.87973523,17.6870154,NA,NA
F1,NSD,male,10,2.42,10.128,5.4804,11.0343,2.55,27.94233663,17.77586545,NA,NA
F1,NSD,male,11,2.47,9.8742,15.9706,15.6219,2.5,24.22373995,13.17416427,NA,NA
